ind,D,T,S,U,rxn,clean_time,real_time,KaiA,ATP,Temp,KaiC
r8_1,2.7953126,20.207006,5.8324041,71.165278,r8,1,1,1.5,25,30,3.5
r8_2,8.4428434,30.13567,9.7699817,51.651505,r8,2,2,1.5,25,30,3.5
r8_3,14.173321,34.672509,10.074891,41.079279,r8,3,3.5,1.5,25,30,3.5
r8_4,16.912926,33.596017,12.454359,37.036698,r8,4,4.5,1.5,25,30,3.5
r8_6,18.779347,32.118032,15.512179,33.590441,r8,6,6.966666667,1.5,25,30,3.5
r8_10,22.501254,24.637621,19.543446,33.31768,r8,10,10.21666667,1.5,25,30,3.5
r8_12,20.736781,21.676415,23.012572,34.574231,r8,12,12.25,1.5,25,30,3.5
r9_0,1.5088013,4.2364458,5.1810826,89.07367,r9,0,0,1.5,10,30,3.5
r9_1,1.9975562,12.00694,5.3439423,80.651562,r9,1,1,1.5,10,30,3.5
r9_2,4.7259564,17.875816,7.9923911,69.405837,r9,2,2,1.5,10,30,3.5
r9_3,7.9363377,19.76847,10.625569,61.669623,r9,3,3.5,1.5,10,30,3.5
r9_4,8.94853,19.844422,11.913707,59.293341,r9,4,4.5,1.5,10,30,3.5
r9_6,11.197448,18.651438,15.429599,54.721515,r9,6,6.966666667,1.5,10,30,3.5
r9_10,10.97256,12.781969,19.218032,57.027439,r9,10,10.21666667,1.5,10,30,3.5
r9_12,8.7144696,13.159567,22.626572,55.499392,r9,12,12.25,1.5,10,30,3.5
r10_0,0.22939622,3.2575427,2.6381149,93.874946,r10,0,0,3,100,30,3.5
r10_1,4.2891254,25.567325,6.4794484,63.664101,r10,1,1,3,100,30,3.5
r10_2,12.177241,42.745663,6.3856237,38.691472,r10,2,2,3,100,30,3.5
r10_3,23.304458,44.534963,8.8088272,23.351752,r10,3,3.5,3,100,30,3.5
r10_4,24.314339,46.824049,8.966256,19.895356,r10,4,4.5,3,100,30,3.5
r10_6,38.385388,42.347366,9.08282,10.184426,r10,6,6.966666667,3,100,30,3.5
r10_10,46.528579,34.649763,10.583043,8.2386137,r10,10,10.21666667,3,100,30,3.5
r10_12,51.957893,29.506346,10.252245,8.2835174,r10,12,12.25,3,100,30,3.5
r11_0,1.2434991,3.140779,1.6074351,94.008287,r11,0,0,3,25,30,3.5
r11_1,6.0729734,25.976104,8.8827538,59.068168,r11,1,1,3,25,30,3.5
r11_2,12.185652,36.196038,10.257273,41.361037,r11,2,2,3,25,30,3.5
r11_3,21.781445,36.676948,11.732111,29.809497,r11,3,3.5,3,25,30,3.5
r11_4,28.707504,36.817818,11.683662,22.791016,r11,4,4.5,3,25,30,3.5
r11_6,32.170555,31.437813,15.969707,20.421925,r11,6,6.966666667,3,25,30,3.5
r11_10,33.355999,23.11817,21.188395,22.337435,r11,10,10.21666667,3,25,30,3.5
r11_12,31.940325,19.705786,24.272059,24.08183,r11,12,12.25,3,25,30,3.5
r12_0,1.1753359,2.7890241,1.9951553,94.040485,r12,0,0,3,10,30,3.5
r12_1,4.3793653,19.256287,8.2473548,68.116993,r12,1,1,3,10,30,3.5
r12_2,9.0192344,24.917632,11.031015,55.032118,r12,2,2,3,10,30,3.5
