,time,Npas2,Per2,Cry2,Fbxo3,Rorc,Ciart,Per3,Clock,Fbxo21,Bhlhe41,Arntl2,Dbp,Arntl,Rora,Cry1,Per1,Hlf,Nr1d1,Csnk1d,Nampt,Nfil3,Nr1d2,Csnk1e,Tef,Csnk1a1
0,0.0,-11.232006776471625,-10.581177891646757,-10.649105171034401,-9.786327486655559,-16.90656097829948,-14.114391022367899,-11.649999553562173,-9.555963617790491,-11.135131814751855,-11.162163397544463,-12.977767016084035,-12.18584078477079,-11.535324994719758,-9.034242906220484,-11.252166071376493,-10.950983469248495,-10.41271520953699,-11.261587663552245,-9.933691126211684,-10.257708274316112,-9.295787784751226,-11.550284104827849,-9.915283763612605,-10.5429518228346,-8.01998212285199
1,0.48484848484848486,-11.242462222191127,-10.571937771645066,-10.648513491054194,-9.786271353939956,-16.843511137803873,-14.123739551563453,-11.638539090948433,-9.558071504652837,-11.139897225300892,-11.167114189608801,-12.979402591461234,-12.22466454007483,-11.538885727161514,-9.033376728178474,-11.240234635157469,-10.950295265782849,-10.406400948127386,-11.33226293251632,-9.93342481612915,-10.251877344692877,-9.288465413243204,-11.569433467567531,-9.917152138664237,-10.537361389703664,-8.020654436792137
2,0.9696969696969697,-11.258133634527864,-10.5602598301476,-10.647055124572555,-9.786236192454625,-16.782552931337946,-14.124582118432187,-11.619215395402438,-9.56158726187236,-11.144502325667894,-11.169248702739138,-12.981149017561258,-12.247968833482,-11.550212835080252,-9.032722446429004,-11.228596059607067,-10.94703136166113,-10.395933510233325,-11.39648765748908,-9.933164517417811,-10.244407795408529,-9.285503118361062,-11.579921123137094,-9.918570246349827,-10.525339811513817,-8.021402979509274
3,1.4545454545454546,-11.278768854590924,-10.546331969604559,-10.644753537252095,-9.78622256796103,-16.72466719926273,-14.116905165757776,-11.59233939241913,-9.566454319599316,-11.148873018064087,-11.168532591820172,-12.982978193734406,-12.255378690187683,-11.569124061069388,-9.032290588610348,-11.217437613762659,-10.941244274322464,-10.381481320848884,-11.453228438603935,-9.932914418381372,-10.23541981430719,-9.286948564538358,-11.58157832123249,-9.919515268785862,-10.507080519958276,-8.022215706670872
4,1.9393939393939394,-11.304035853964937,-10.53037829450581,-10.641645762494372,-9.78623069968237,-16.670785344676172,-14.100832218582534,-11.558343526947223,-9.572594365052952,-11.152938976412702,-11.164977379344661,-12.984860687851317,-12.246774882823694,-11.595315116423558,-9.032088103476465,-11.206938841194916,-10.933027120168456,-10.363276921111272,-11.50157229545249,-9.93267854320695,-10.225058021369332,-9.292778494005013,-11.574378396916012,-9.919972000207588,-10.482877313873322,-8.023079541192667
5,2.4242424242424243,-11.333528077171568,-10.512655505455768,-10.637781805558598,-9.786260456776208,-16.62177434678862,-14.076621896643227,-11.517774805188122,-9.579908602603464,-11.156634777921866,-11.158640270012187,-12.986766209876965,-12.222295849871252,-11.628364577257795,-9.032118249088962,-11.197268671084547,-10.92251211628544,-10.341613226626869,-11.540741357281092,-9.9324606872144,-10.213489141722137,-9.302899101013542,-11.55843719966512,-9.919933091635457,-10.453119631905052,-8.023980583653836
6,2.909090909090909,-11.366770983299348,-10.49344876876457,-10.633223838958298,-9.786311360439765,-16.578422810902776,-14.044663753082714,-11.471285993061361,-9.588279343430662,-11.159900955761811,-11.149623230284133,-12.988664099248643,-12.182335468134005,-11.667740665375597,-9.032380540393646,-11.188582700088544,-10.909868453022066,-10.316838814349486,-11.570105379222435,-9.932264355788194,-10.200899322969809,-9.317147541208646,-11.534011229310982,-9.91939916912296,-10.418286286295778,-8.024904335943885
7,3.393939393939394,-11.40322968154459,-10.47306712801539,-10.62804520208229,-9.786382591614036,-16.541428279459197,-14.005472006394045,-11.41962511295661,-9.59757189918115,-11.162684955908443,-11.138071347705147,-12.99052381821591,-12.12753671511281,-11.71280980477916,-9.03287075702524,-11.181020688731724,-10.895299571653249,-10.289352313846678,-11.589191883171399,-9.932092707974471,-10.187491140008923,-9.335294551853845,-11.501493508860177,-9.918378823683192,-10.378937758615816,-8.025835934542672
8,3.878787878787879,-11.44231753780463,-10.451838531437522,-10.622329221136475,-9.786473004162763,-16.511386008317277,-13.959677266452417,-11.363623407773403,-9.607636749154338,-11.16494198275724,-11.124170496390239,-12.99231544320442,-12.058781323257062,-11.762846816144378,-9.033581011214634,-11.174704312607572,-10.879039890933905,-10.259595993200788,-11.597693760134634,-9.931948505650812,-10.173480335522518,-9.357048140754738,-11.461407260607388,-9.916888473056229,-10.335707181405198,-8.026760389680005
9,4.363636363636363,-11.483405613840162,-10.430104555096577,-10.61616786839398,-9.786581143314194,-16.488779388865666,-13.908016387766217,-11.304181965911729,-9.618311946146502,-11.166635719901313,-11.108144346240689,-12.99401014629743,-11.977175592559497,-11.817046585227605,-9.034499874706047,-11.169735204572385,-10.861351035213431,-10.228048642749943,-11.595474211729222,-9.931834069086584,-10.159092348599561,-9.382058284522703,-11.414397487292828,-9.91495209754156,-10.289290150834109,-8.02766282652667
